"","Completes","Revenue","Profit","PPT Cost","Revenue Per Call","Profit Per Call","Payroll Cost","Truck Cost","Payroll Cost Per Call","Truck Cost Per Call","PPT Cost Per Call","Profit Margin"
"","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)","Week 202526 (WTD)"
"YOY%","-95.76%","-93.61%","-599.46%","-97.03%","50.64%","-11,873.04%","-96.62%","-96.75%","-20.30%","-23.43%","-30.01%","-7,915.33%"
"LW","30","$2,755","-$1,851","$4,605","$91.83","-$61.69","$1,955","$670","$65.18","$22.32","$153.51","-67.17%"
"LW%","-76.67%","-48.50%","-140.80%","-85.59%","120.73%","-274.87%","-83.88%","-84.07%","-30.91%","-31.72%","-38.23%","-179.23%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","2","$499","$302","$197","$249.49","$151.13","$81","$20","$40.29","$9.88","$98.36","60.58%"
"Dryer","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Range/Cooktop/Oven","1","$155","$124","$31","$155.00","$123.69","$25","$0","$24.58","$0.00","$31.31","79.80%"
"Dishwasher","2","$315","$71","$244","$157.50","$35.28","$140","$57","$70.22","$28.60","$122.22","22.40%"
"Washer","2","$450","$259","$191","$224.93","$129.29","$70","$30","$34.82","$14.86","$95.64","57.48%"
"Hvac","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Other Clients","259","$68,438","$25,165","$43,273","$264.24","$97.16","$18,410","$6,439","$71.08","$24.86","$167.08","36.77%"
"YOY","1,782","$287,118","$25,587","$261,530","$161.12","$14.36","$109,729","$38,696","$61.58","$21.72","$146.76","8.91%"
"YOY%","-85.47%","-76.16%","-1.65%","-83.45%","64.00%","576.68%","-83.22%","-83.36%","15.44%","14.48%","13.84%","312.61%"
"LW","698","$164,201","$54,635","$109,566","$235.25","$78.27","$48,525","$16,649","$69.52","$23.85","$156.97","33.27%"
"LW%","-62.89%","-58.32%","-53.94%","-60.51%","12.33%","24.13%","-62.06%","-61.33%","2.25%","4.22%","6.44%","10.51%"
"Appliance View","","","","","","","","","","","",""
"Refrigerator/Freezer","80","$21,260","$6,859","$14,401","$265.75","$85.73","$5,775","$2,141","$72.18","$26.76","$180.02","32.26%"
"Dryer","29","$10,078","$4,146","$5,931","$347.51","$142.98","$2,261","$783","$77.95","$26.99","$204.53","41.14%"
"Range/Cooktop/Oven","36","$8,004","$2,816","$5,187","$222.32","$78.23","$2,575","$979","$71.52","$27.20","$144.10","35.19%"
"Dishwasher","24","$6,250","$2,300","$3,950","$260.43","$95.85","$1,799","$655","$74.95","$27.29","$164.58","36.80%"
"Washer","40","$10,117","$4,049","$6,069","$252.93","$101.21","$2,634","$865","$65.84","$21.64","$151.72","40.02%"
"Mwave","5","$775","$445","$330","$155.00","$89.07","$198","$69","$39.66","$13.76","$65.93","57.47%"
"Hvac","38","$10,861","$3,965","$6,895","$285.81","$104.35","$2,869","$837","$75.51","$22.02","$181.46","36.51%"
"Other","7","$1,093","$584","$509","$156.19","$83.49","$300","$110","$42.88","$15.71","$72.70","53.45%"
"Disposer/Compactor","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
"Lawn/Gard/Garage","0","$0","$0","$0","$0.00","$0.00","$0","$0","$0.00","$0.00","$0.00","0.00%"
