"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"TOTAL REVENUE","$1,345,284","$1,863,104","$1,403,973","$1,403,036","$1,731,981","$1,490,040","$1,452,907","$1,794,848","$1,582,339","$1,583,810","$1,930,552","$1,668,989","$1,709,849","$2,041,850","$1,428,447","$1,732,131","$2,340,449","$1,342,829"
"PPT COST","$824,693","$1,086,945","$859,269","$815,886","$949,167","$778,801","$776,649","$1,023,481","$846,887","$805,346","$1,005,975","$798,044","$912,050","$1,129,797","$848,890","$876,863","$944,826","$624,622"
"PPT PROFIT","$520,590","$776,159","$544,704","$587,150","$782,814","$711,239","$676,258","$771,367","$735,452","$778,464","$924,577","$870,945","$797,799","$912,053","$579,557","$855,268","$1,395,624","$718,208"
"LABOR REVENUE","$1,338,325","$1,858,196","$1,403,719","$1,402,945","$1,731,250","$1,489,551","$1,452,677","$1,794,744","$1,582,123","$1,583,194","$1,930,471","$1,668,881","$1,709,375","$2,039,972","$1,423,859","$1,222,130","$1,681,877","$1,342,372"
"PAYROLL COST","$496,518","$654,121","$516,014","$502,411","$574,479","$482,068","$461,247","$567,522","$493,876","$498,442","$606,626","$492,874","$563,091","$693,098","$494,791","$531,993","$545,239","$515,983"
"BENEFIT COST","$150,451","$199,717","$168,905","$148,092","$179,117","$140,659","$142,447","$244,299","$173,531","$137,386","$198,846","$126,332","$147,774","$200,410","$167,577","$152,916","$180,458","$108,168"
"PARTS REVENUE","$6,959","$4,908","$254","$91","$731","$489","$230","$104","$216","$616","$81","$108","$474","$1,878","$4,588","$510,001","$658,573","$458"
"PARTS COST","$533","$1,874","$735","$294","$0","$32","$463","$627","$168","$160","$107","$669","$83","$959","$624","$82","$491","$461"
"PARTS UNMARKED COST","$227","$256","$579","$275","$0","$0","$227","$381","$162","$160","$36","$41","$83","$764","$304","$60","$311","$86"
"TRUCK COST","$176,499","$231,216","$173,508","$165,079","$195,504","$155,982","$171,907","$209,706","$179,072","$169,146","$200,325","$177,745","$200,759","$235,205","$185,725","$191,824","$218,423","$0"
"UPS SHIPMENT COST","$693","$17","$107","$10","$67","$60","$584","$1,326","$239","$212","$71","$425","$342","$125","$173","$48","$214","$8"
"ED","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ED RATE","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"RECALLS","0","1","0","0","0","0","0","0","1","2","0","3","1","0","0","1","5","8"
"RECALL RATE","0.00%","0.01%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.01%","0.02%","0.00%","0.02%","0.01%","0.00%","0.00%","0.01%","0.04%","0.06%"
"N ATP PER CALL","1.01","1.01","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","0.96","1.00","1.00"
"REPAIR TIME PER CALL","37.11","35.87","37.27","37.99","37.61","35.82","35.50","34.37","34.41","36.00","35.87","35.63","35.13","35.51","34.54","33.77","37.79","36.95"
"TRAVEL TIME PER CALL","37.84","35.76","35.88","38.67","37.08","36.10","35.55","35.55","34.26","35.01","34.89","33.26","33.43","34.11","35.25","35.40","33.28","32.25"
"66000 - CLEAN & MAINTAIN","1,703","2,759","2,221","2,455","3,576","3,699","3,879","4,415","4,339","4,998","5,987","5,114","4,684","5,442","2,761","2,550","5,118","5,100"
"PPT PROFIT PER CALL","-$28.53","-$29.05","-$34.88","-$29.60","-$30.03","-$27.53","-$24.08","-$31.01","-$27.85","-$24.51","-$25.67","-$22.81","-$28.44","-$28.09","-$31.39","-$39.17","-$18.15","$29.81"
"TOTAL REVENUE PER CALL","$40.46","$38.19","$32.87","$35.67","$31.66","$32.27","$37.03","$34.80","$34.79","$33.24","$32.64","$31.35","$29.82","$30.51","$31.28","$32.32","$36.70","$38.09"
"PPT COST PER CALL","$68.99","$67.24","$67.75","$65.27","$61.69","$59.80","$61.12","$65.80","$62.64","$57.75","$58.31","$54.16","$58.27","$58.60","$62.67","$71.49","$54.86","$8.28"
"LABOR REVENUE PER CALL","$39.96","$37.19","$31.59","$33.78","$30.63","$31.90","$36.57","$34.43","$34.31","$32.99","$32.40","$31.12","$29.58","$30.15","$30.70","$31.28","$35.81","$37.37"
"PAYROLL COST PER CALL","$41.71","$40.57","$41.24","$40.60","$37.62","$37.38","$37.02","$37.09","$37.02","$36.03","$35.58","$33.59","$36.36","$36.35","$36.86","$44.24","$31.60","$5.65"
"BENEFIT COST PER CALL","$12.71","$12.40","$13.18","$11.66","$11.54","$10.74","$11.20","$15.51","$12.81","$9.84","$11.59","$8.53","$9.30","$10.36","$12.28","$12.35","$10.43","$2.22"
"PARTS REVENUE PER CALL","$0.50","$1.00","$1.28","$1.89","$1.02","$0.37","$0.46","$0.36","$0.48","$0.25","$0.24","$0.24","$0.25","$0.36","$0.58","$1.04","$0.89","$0.72"
"PARTS COST PER CALL","$0.31","$0.48","$0.48","$0.58","$0.46","$0.04","$0.17","$0.24","$0.22","$0.14","$0.14","$0.17","$0.17","$0.27","$0.51","$0.76","$0.64","$0.34"
"PARTS UNMARKED COST PER CALL","$0.00","$0.01","$0.04","$0.00","$0.15","$0.00","$0.00","$0.01","$0.02","$0.03","$0.01","$0.03","$0.02","$0.02","$0.02","$0.01","$0.04","$0.07"
"TRUCK COST PER CALL","$14.25","$13.74","$12.82","$12.33","$12.01","$11.60","$12.69","$12.92","$12.56","$11.73","$10.98","$11.84","$12.42","$11.60","$13.01","$14.11","$12.08","$0.00"
"UPS SHIPMENT COST PER CALL","$0.01","$0.05","$0.04","$0.10","$0.06","$0.03","$0.03","$0.04","$0.04","$0.02","$0.01","$0.03","$0.02","$0.02","$0.01","$0.03","$0.10","$0.07"
"%PROFITABLE","20.38%","19.25%","16.34%","18.29%","17.59%","19.01%","20.21%","17.96%","19.80%","20.87%","20.08%","21.53%","18.38%","18.12%","17.86%","16.31%","23.45%","38.47%"
"%UNPROFITABLE","79.62%","80.75%","83.66%","81.71%","82.41%","80.99%","79.79%","82.04%","80.20%","79.13%","79.92%","78.47%","81.62%","81.88%","82.14%","83.69%","76.55%","61.53%"
